meas_id,name,meas_type,element_type,element,value,std_dev,side
48,V_bus49,v,bus,49,0.85685,0.004,
49,V_bus50,v,bus,50,0.84955,0.004,
50,V_bus51,v,bus,51,0.90124,0.004,
51,V_bus52,v,bus,52,0.89039,0.004,
52,V_bus53,v,bus,53,0.86903,0.004,
53,V_bus54,v,bus,54,0.88669,0.004,
54,V_bus55,v,bus,55,0.91263,0.004,
55,V_bus56,v,bus,56,0.80464,0.004,
56,V_bus57,v,bus,57,0.79241,0.004,
57,P_bus1,p,bus,1,-425.7912,1.0,
58,Q_bus1,q,bus,1,-113.4091,1.0,
59,P_bus2,p,bus,2,3.1937,1.0,
60,Q_bus2,q,bus,2,88.3499,1.0,
61,P_bus3,p,bus,3,0.933,1.0,
62,Q_bus3,q,bus,3,16.9136,1.0,
63,P_bus4,p,bus,4,0.1172,1.0,
64,Q_bus4,q,bus,4,0.1422,1.0,
65,P_bus5,p,bus,5,13.1587,1.0,
66,Q_bus5,q,bus,5,3.9303,1.0,
67,P_bus6,p,bus,6,74.9075,1.0,
68,Q_bus6,q,bus,6,-3.6202,1.0,
69,P_bus7,p,bus,7,-0.0383,1.0,
70,Q_bus7,q,bus,7,-0.2551,1.0,
71,P_bus8,p,bus,8,-300.2267,1.0,
72,Q_bus8,q,bus,8,-45.814,1.0,
73,P_bus9,p,bus,9,121.0994,1.0,
74,Q_bus9,q,bus,9,25.0833,1.0,
75,P_bus10,p,bus,10,5.1381,1.0,
76,Q_bus10,q,bus,10,1.9145,1.0,
77,P_bus11,p,bus,11,0.0317,1.0,
78,Q_bus11,q,bus,11,0.1251,1.0,
79,P_bus12,p,bus,12,66.9381,1.0,
80,Q_bus12,q,bus,12,-101.5109,1.0,
81,P_bus13,p,bus,13,17.8676,1.0,
82,Q_bus13,q,bus,13,2.2274,1.0,
83,P_bus14,p,bus,14,10.4237,1.0,
84,Q_bus14,q,bus,14,5.0608,1.0,
85,P_bus15,p,bus,15,22.0974,1.0,
86,Q_bus15,q,bus,15,4.9061,1.0,
87,P_bus16,p,bus,16,43.0025,1.0,
88,Q_bus16,q,bus,16,3.0961,1.0,
89,P_bus17,p,bus,17,42.0893,1.0,
90,Q_bus17,q,bus,17,8.1331,1.0,
91,P_bus18,p,bus,18,27.1803,1.0,
92,Q_bus18,q,bus,18,0.8161,1.0,
93,P_bus19,p,bus,19,3.2841,1.0,
94,Q_bus19,q,bus,19,0.2625,1.0,
95,P_bus20,p,bus,20,2.0106,1.0,
96,Q_bus20,q,bus,20,0.7355,1.0,
97,P_bus21,p,bus,21,-0.1994,1.0,
98,Q_bus21,q,bus,21,0.08,1.0,
99,P_bus22,p,bus,22,-0.1811,1.0,
100,Q_bus22,q,bus,22,-0.0756,1.0,
101,P_bus23,p,bus,23,6.5598,1.0,
102,Q_bus23,q,bus,23,2.0287,1.0,
103,P_bus24,p,bus,24,0.1475,1.0,
104,Q_bus24,q,bus,24,-0.1867,1.0,
105,P_bus25,p,bus,25,6.2589,1.0,
106,Q_bus25,q,bus,25,-0.6132,1.0,
107,P_bus26,p,bus,26,-0.0678,1.0,
108,Q_bus26,q,bus,26,0.1681,1.0,
109,P_bus27,p,bus,27,8.9545,1.0,
110,Q_bus27,q,bus,27,0.5869,1.0,
111,P_bus28,p,bus,28,4.6475,1.0,
112,Q_bus28,q,bus,28,2.1812,1.0,
113,P_bus29,p,bus,29,16.7108,1.0,
114,Q_bus29,q,bus,29,2.6144,1.0,
115,P_bus30,p,bus,30,3.4941,1.0,
116,Q_bus30,q,bus,30,1.8465,1.0,
117,P_bus31,p,bus,31,5.8044,1.0,
118,Q_bus31,q,bus,31,3.2204,1.0,
119,P_bus32,p,bus,32,1.5521,1.0,
120,Q_bus32,q,bus,32,0.5953,1.0,
121,P_bus33,p,bus,33,3.8359,1.0,
122,Q_bus33,q,bus,33,1.944,1.0,
123,P_bus34,p,bus,34,0.2718,1.0,
124,Q_bus34,q,bus,34,0.167,1.0,
125,P_bus35,p,bus,35,6.0714,1.0,
126,Q_bus35,q,bus,35,3.2927,1.0,
127,P_bus36,p,bus,36,-0.2378,1.0,
128,Q_bus36,q,bus,36,-0.128,1.0,
129,P_bus37,p,bus,37,-0.1853,1.0,
130,Q_bus37,q,bus,37,-0.078,1.0,
131,P_bus38,p,bus,38,13.7247,1.0,
132,Q_bus38,q,bus,38,7.127,1.0,
133,P_bus39,p,bus,39,-0.0444,1.0,
134,Q_bus39,q,bus,39,-0.2942,1.0,
135,P_bus40,p,bus,40,-0.2031,1.0,
136,Q_bus40,q,bus,40,0.0627,1.0,
137,P_bus41,p,bus,41,6.4676,1.0,
138,Q_bus41,q,bus,41,3.3993,1.0,
139,P_bus42,p,bus,42,7.6828,1.0,
140,Q_bus42,q,bus,42,4.4829,1.0,
141,P_bus43,p,bus,43,1.8021,1.0,
142,Q_bus43,q,bus,43,0.5736,1.0,
143,P_bus44,p,bus,44,12.0535,1.0,
144,Q_bus44,q,bus,44,1.6374,1.0,
145,P_bus45,p,bus,45,-0.0831,1.0,
146,Q_bus45,q,bus,45,-0.1224,1.0,
147,P_bus46,p,bus,46,-0.0282,1.0,
148,Q_bus46,q,bus,46,0.2132,1.0,
149,P_bus47,p,bus,47,29.7314,1.0,
150,Q_bus47,q,bus,47,11.5683,1.0,
151,P_bus48,p,bus,48,-0.2071,1.0,
152,Q_bus48,q,bus,48,-0.3349,1.0,
153,P_bus49,p,bus,49,17.9027,1.0,
154,Q_bus49,q,bus,49,8.4892,1.0,
155,P_bus50,p,bus,50,21.3536,1.0,
156,Q_bus50,q,bus,50,10.5261,1.0,
157,P_bus51,p,bus,51,18.1965,1.0,
158,Q_bus51,q,bus,51,5.2001,1.0,
159,P_bus52,p,bus,52,4.663,1.0,
160,Q_bus52,q,bus,52,2.007,1.0,
161,P_bus53,p,bus,53,19.855,1.0,
162,Q_bus53,q,bus,53,5.6359,1.0,
163,P_bus54,p,bus,54,3.9357,1.0,
164,Q_bus54,q,bus,54,1.5677,1.0,
165,P_bus55,p,bus,55,6.6194,1.0,
166,Q_bus55,q,bus,55,3.5863,1.0,
167,P_bus56,p,bus,56,7.677,1.0,
168,Q_bus56,q,bus,56,2.1687,1.0,
169,P_bus57,p,bus,57,6.6918,1.0,
170,Q_bus57,q,bus,57,1.869,1.0,
171,P_line1_from,p,line,0,103.272,1.0,from
172,Q_line1_from,q,line,0,74.63955,1.0,from
173,I_line1_from,i,line,0,0.61494,0.001,from
174,P_line2_from,p,line,1,98.77015,1.0,from
175,Q_line2_from,q,line,1,-4.91311,1.0,from
176,I_line2_from,i,line,1,0.49236,0.001,from
177,P_line3_from,p,line,2,62.11239,1.0,from
178,Q_line3_from,q,line,2,-6.7428,1.0,from
179,I_line3_from,i,line,2,0.31838,0.001,from
180,P_line4_from,p,line,3,14.33767,1.0,from
181,Q_line4_from,q,line,3,-4.95229,1.0,from
182,I_line4_from,i,line,3,0.07707,0.001,from
183,P_line5_from,p,line,4,14.96135,1.0,from
184,Q_line5_from,q,line,4,-5.7182,1.0,from
185,I_line5_from,i,line,4,0.08175,0.001,from
186,P_line6_from,p,line,5,-16.48899,1.0,from
187,Q_line6_from,q,line,5,1.75391,1.0,from
188,I_line6_from,i,line,5,0.08497,0.001,from
189,P_line7_from,p,line,6,-42.52904,1.0,from
190,Q_line7_from,q,line,6,-6.33929,1.0,from
191,I_line7_from,i,line,6,0.22123,0.001,from
192,P_line8_from,p,line,7,175.83817,1.0,from
193,Q_line8_from,q,line,7,20.1989,1.0,from
194,I_line8_from,i,line,7,0.88417,0.001,from
195,P_line9_from,p,line,8,17.96155,1.0,from
196,Q_line9_from,q,line,8,-6.53717,1.0,from
197,I_line9_from,i,line,8,0.09842,0.001,from
198,P_line10_from,p,line,9,13.32415,1.0,from
199,Q_line10_from,q,line,9,4.45411,1.0,from
200,I_line10_from,i,line,9,0.07203,0.001,from
201,P_line11_from,p,line,10,2.39952,1.0,from
202,Q_line11_from,q,line,10,-15.78556,1.0,from
203,I_line11_from,i,line,10,0.0818,0.001,from
204,P_line12_from,p,line,11,1.07859,1.0,from
205,Q_line12_from,q,line,11,-4.18881,1.0,from
206,I_line12_from,i,line,11,0.02234,0.001,from
207,P_line13_from,p,line,12,-14.12449,1.0,from
208,Q_line13_from,q,line,12,19.06854,1.0,from
209,I_line13_from,i,line,12,0.12116,0.001,from
210,P_line14_from,p,line,13,-47.92903,1.0,from
211,Q_line14_from,q,line,13,10.86072,1.0,from
212,I_line14_from,i,line,13,0.25161,0.001,from
213,P_line15_from,p,line,14,149.54846,1.0,from
214,Q_line15_from,q,line,14,35.45726,1.0,from
215,I_line15_from,i,line,14,0.7423,0.001,from
216,P_line16_from,p,line,15,79.63883,1.0,from
217,Q_line16_from,q,line,15,-0.73904,1.0,from
218,I_line16_from,i,line,15,0.38419,0.001,from
219,P_line17_from,p,line,16,93.61133,1.0,from
220,Q_line17_from,q,line,16,3.91128,1.0,from
221,I_line17_from,i,line,16,0.45265,0.001,from
222,P_line18_from,p,line,17,32.96179,1.0,from
223,Q_line18_from,q,line,17,-15.19889,1.0,from
224,I_line18_from,i,line,17,0.1847,0.001,from
225,P_line19_from,p,line,18,1.08947,1.0,from
226,Q_line19_from,q,line,18,-6.55059,1.0,from
227,I_line19_from,i,line,18,0.0356,0.001,from
228,P_line20_from,p,line,19,-79.9041,1.0,from
229,Q_line20_from,q,line,19,-17.39902,1.0,from
230,I_line20_from,i,line,19,0.41824,0.001,from
231,P_line21_from,p,line,20,-19.55185,1.0,from
232,Q_line21_from,q,line,20,-23.23456,1.0,from
233,I_line21_from,i,line,20,0.15539,0.001,from
234,P_line22_from,p,line,21,-12.74842,1.0,from
235,Q_line22_from,q,line,21,-11.93635,1.0,from
236,I_line22_from,i,line,21,0.0895,0.001,from
237,P_line23_from,p,line,22,-2.11505,1.0,from
238,Q_line23_from,q,line,22,53.57706,1.0,from
239,I_line23_from,i,line,22,0.26568,0.001,from
240,P_line24_from,p,line,23,-33.7961,1.0,from
241,Q_line24_from,q,line,23,8.9336,1.0,from
242,I_line24_from,i,line,23,0.17232,0.001,from
243,P_line25_from,p,line,24,-48.92007,1.0,from
244,Q_line25_from,q,line,24,9.50266,1.0,from
245,I_line25_from,i,line,24,0.24545,0.001,from
246,P_line26_from,p,line,25,-64.89736,1.0,from
247,Q_line26_from,q,line,25,2.62444,1.0,from
248,I_line26_from,i,line,25,0.33372,0.001,from
249,P_line27_from,p,line,26,5.27357,1.0,from
250,Q_line27_from,q,line,26,2.48848,1.0,from
251,I_line27_from,i,line,26,0.00732,0.001,from
252,P_line28_from,p,line,27,2.08002,1.0,from
253,Q_line28_from,q,line,27,1.55385,1.0,from
254,I_line28_from,i,line,27,0.00322,0.001,from
255,P_line29_from,p,line,28,-0.33741,1.0,from
256,Q_line29_from,q,line,28,0.65584,1.0,from
257,I_line29_from,i,line,28,0.00363,0.001,from
258,P_line30_from,p,line,29,9.47348,1.0,from
259,Q_line30_from,q,line,29,4.25029,1.0,from
260,I_line30_from,i,line,29,0.05188,0.001,from
261,P_line31_from,p,line,30,3.14498,1.0,from
262,Q_line31_from,q,line,30,2.2876,1.0,from
263,I_line31_from,i,line,30,0.01934,0.001,from
264,P_line32_from,p,line,31,-11.06134,1.0,from
265,Q_line32_from,q,line,31,-4.03431,1.0,from
266,I_line32_from,i,line,31,0.04918,0.001,from
267,P_line33_from,p,line,32,-20.68352,1.0,from
268,Q_line33_from,q,line,32,-5.10779,1.0,from
269,I_line33_from,i,line,32,0.0852,0.001,from
270,P_line34_from,p,line,33,-25.73971,1.0,from
271,Q_line34_from,q,line,33,-7.91999,1.0,from
272,I_line34_from,i,line,33,0.10495,0.001,from
273,P_line35_from,p,line,34,8.15038,1.0,from
274,Q_line35_from,q,line,34,5.20655,1.0,from
275,I_line35_from,i,line,34,0.02013,0.001,from
276,P_line36_from,p,line,35,4.07009,1.0,from
277,Q_line36_from,q,line,35,2.84668,1.0,from
278,I_line36_from,i,line,35,0.01138,0.001,from
279,P_line37_from,p,line,36,-1.77489,1.0,from
280,Q_line37_from,q,line,36,-0.11903,1.0,from
281,I_line37_from,i,line,36,0.00403,0.001,from
282,P_line38_from,p,line,37,3.90596,1.0,from
283,Q_line38_from,q,line,37,1.95758,1.0,from
284,I_line38_from,i,line,37,0.00961,0.001,from
285,P_line39_from,p,line,38,-7.29355,1.0,from
286,Q_line39_from,q,line,38,-3.92594,1.0,from
287,I_line39_from,i,line,38,0.0434,0.001,from
288,P_line40_from,p,line,39,-13.33092,1.0,from
289,Q_line40_from,q,line,39,-6.84082,1.0,from
290,I_line40_from,i,line,39,0.07776,0.001,from
291,P_line41_from,p,line,40,-15.48704,1.0,from
292,Q_line41_from,q,line,40,-5.08707,1.0,from
293,I_line41_from,i,line,40,0.08364,0.001,from
294,P_line42_from,p,line,41,-18.37212,1.0,from
295,Q_line42_from,q,line,41,-6.25903,1.0,from
296,I_line42_from,i,line,41,0.09852,0.001,from
297,P_line43_from,p,line,42,2.69232,1.0,from
298,Q_line43_from,q,line,42,0.7196,1.0,from
299,I_line43_from,i,line,42,0.01462,0.001,from
300,P_line44_from,p,line,43,2.22515,1.0,from
301,Q_line44_from,q,line,43,-1.82968,1.0,from
302,I_line44_from,i,line,43,0.01367,0.001,from
303,P_line45_from,p,line,44,-9.93542,1.0,from
304,Q_line45_from,q,line,44,-3.78246,1.0,from
305,I_line45_from,i,line,44,0.05252,0.001,from
306,P_line46_from,p,line,45,9.92185,1.0,from
307,Q_line46_from,q,line,45,7.65739,1.0,from
308,I_line46_from,i,line,45,0.03582,0.001,from
309,P_line47_from,p,line,46,-12.85984,1.0,from
310,Q_line47_from,q,line,46,-7.75694,1.0,from
311,I_line47_from,i,line,46,0.04368,0.001,from
312,P_line48_from,p,line,47,-27.94594,1.0,from
313,Q_line48_from,q,line,47,-14.56567,1.0,from
314,I_line48_from,i,line,47,0.15678,0.001,from
315,P_line49_from,p,line,48,40.17568,1.0,from
316,Q_line49_from,q,line,48,10.85397,1.0,from
317,I_line49_from,i,line,48,0.20002,0.001,from
318,P_line50_from,p,line,49,10.07743,1.0,from
319,Q_line50_from,q,line,49,-2.19074,1.0,from
320,I_line50_from,i,line,49,0.05012,0.001,from
321,P_line51_from,p,line,50,-0.97532,1.0,from
322,Q_line51_from,q,line,50,-2.74808,1.0,from
323,I_line51_from,i,line,50,0.01493,0.001,from
324,P_line52_from,p,line,51,7.42842,1.0,from
325,Q_line52_from,q,line,51,-0.35099,1.0,from
326,I_line52_from,i,line,51,0.03534,0.001,from
327,P_line53_from,p,line,52,-13.81801,1.0,from
328,Q_line53_from,q,line,52,-11.13342,1.0,from
329,I_line53_from,i,line,52,0.08696,0.001,from
330,P_line54_from,p,line,53,20.37806,1.0,from
331,Q_line54_from,q,line,53,7.59385,1.0,from
332,I_line54_from,i,line,53,0.08272,0.001,from
333,P_line55_from,p,line,54,14.45706,1.0,from
334,Q_line55_from,q,line,54,4.33677,1.0,from
335,I_line55_from,i,line,54,0.06114,0.001,from
336,P_line56_from,p,line,55,-5.73108,1.0,from
337,Q_line56_from,q,line,55,-1.13268,1.0,from
338,I_line56_from,i,line,55,0.0239,0.001,from
339,P_line57_from,p,line,56,-9.78568,1.0,from
340,Q_line57_from,q,line,56,-2.89504,1.0,from
341,I_line57_from,i,line,56,0.04126,0.001,from
342,P_line58_from,p,line,57,-40.51771,1.0,from
343,Q_line58_from,q,line,57,-17.0406,1.0,from
344,I_line58_from,i,line,57,0.21266,0.001,from
345,P_line59_from,p,line,58,-7.3804,1.0,from
346,Q_line59_from,q,line,58,-3.06102,1.0,from
347,I_line59_from,i,line,58,0.02428,0.001,from
348,P_line60_from,p,line,59,-2.55641,1.0,from
349,Q_line60_from,q,line,59,-2.20387,1.0,from
350,I_line60_from,i,line,59,0.0105,0.001,from
351,P_line61_from,p,line,60,-3.88874,1.0,from
352,Q_line61_from,q,line,60,-1.3312,1.0,from
353,I_line61_from,i,line,60,0.01329,0.001,from
354,P_line62_from,p,line,61,-3.55705,1.0,from
355,Q_line62_from,q,line,61,-2.20602,1.0,from
356,I_line62_from,i,line,61,0.02123,0.001,from
357,P_line63_from,p,line,62,-10.83008,1.0,from
358,Q_line63_from,q,line,62,-0.76562,1.0,from
359,I_line63_from,i,line,62,0.05378,0.001,from
360,P_line1_to,p,line,0,-101.91319,1.0,to
361,Q_line1_to,q,line,0,-83.71779,1.0,to
362,P_line2_to,p,line,1,-95.94054,1.0,to
363,Q_line2_to,q,line,1,4.83443,1.0,to
364,P_line3_to,p,line,2,-61.66101,1.0,to
365,Q_line3_to,q,line,2,4.67434,1.0,to
366,P_line4_to,p,line,3,-14.14101,1.0,to
367,Q_line4_to,q,line,3,2.72011,1.0,to
368,P_line5_to,p,line,4,-14.72427,1.0,to
369,Q_line5_to,q,line,4,2.8688,1.0,to
370,P_line6_to,p,line,5,16.56734,1.0,to
371,Q_line6_to,q,line,5,-4.09441,1.0,to
372,P_line7_to,p,line,6,43.4296,1.0,to
373,Q_line7_to,q,line,6,5.2814,1.0,to
374,P_line8_to,p,line,7,-172.73811,1.0,to
375,Q_line8_to,q,line,7,-9.4927,1.0,to
376,P_line9_to,p,line,8,-17.9386,1.0,to
377,Q_line9_to,q,line,8,2.77406,1.0,to
378,P_line10_to,p,line,9,-13.10836,1.0,to
379,Q_line10_to,q,line,9,-6.40874,1.0,to
380,P_line11_to,p,line,10,-2.14596,1.0,to
381,Q_line11_to,q,line,10,8.70622,1.0,to
382,P_line12_to,p,line,11,-1.44051,1.0,to
383,Q_line12_to,q,line,11,0.15861,1.0,to
384,P_line13_to,p,line,12,13.92222,1.0,to
385,Q_line13_to,q,line,12,-20.02918,1.0,to
386,P_line14_to,p,line,13,48.74735,1.0,to
387,Q_line14_to,q,line,13,-10.96556,1.0,to
388,P_line15_to,p,line,14,-145.61188,1.0,to
389,Q_line15_to,q,line,14,-25.55024,1.0,to
390,P_line16_to,p,line,15,-77.15562,1.0,to
391,Q_line16_to,q,line,15,7.19363,1.0,to
392,P_line17_to,p,line,16,-91.79036,1.0,to
393,Q_line17_to,q,line,16,1.87848,1.0,to
394,P_line18_to,p,line,17,-32.66684,1.0,to
395,Q_line18_to,q,line,17,10.49588,1.0,to
396,P_line19_to,p,line,18,-0.97805,1.0,to
397,Q_line19_to,q,line,18,5.66562,1.0,to
398,P_line20_to,p,line,19,80.83259,1.0,to
399,Q_line20_to,q,line,19,20.30968,1.0,to
400,P_line21_to,p,line,20,19.71934,1.0,to
401,Q_line21_to,q,line,20,21.13058,1.0,to
402,P_line22_to,p,line,21,12.82399,1.0,to
403,Q_line22_to,q,line,21,10.25366,1.0,to
404,P_line23_to,p,line,22,2.70898,1.0,to
405,Q_line23_to,q,line,22,-57.92077,1.0,to
406,P_line24_to,p,line,23,33.91285,1.0,to
407,Q_line24_to,q,line,23,-10.10524,1.0,to
408,P_line25_to,p,line,24,49.54388,1.0,to
409,Q_line25_to,q,line,24,-9.96219,1.0,to
410,P_line26_to,p,line,25,65.39442,1.0,to
411,Q_line26_to,q,line,25,-1.68447,1.0,to
412,P_line27_to,p,line,26,-5.27498,1.0,to
413,Q_line27_to,q,line,26,-2.17759,1.0,to
414,P_line28_to,p,line,27,-1.91334,1.0,to
415,Q_line28_to,q,line,27,-1.59856,1.0,to
416,P_line29_to,p,line,28,0.52463,1.0,to
417,Q_line29_to,q,line,28,-0.47869,1.0,to
418,P_line30_to,p,line,29,-9.47853,1.0,to
419,Q_line30_to,q,line,29,-4.22903,1.0,to
420,P_line31_to,p,line,30,-3.12336,1.0,to
421,Q_line31_to,q,line,30,-2.87158,1.0,to
422,P_line32_to,p,line,31,11.35925,1.0,to
423,Q_line32_to,q,line,31,4.46505,1.0,to
424,P_line33_to,p,line,32,20.97874,1.0,to
425,Q_line33_to,q,line,32,5.61584,1.0,to
426,P_line34_to,p,line,33,26.10601,1.0,to
427,Q_line34_to,q,line,33,8.62659,1.0,to
428,P_line35_to,p,line,34,-7.88461,1.0,to
429,Q_line35_to,q,line,34,-4.71864,1.0,to
430,P_line36_to,p,line,35,-4.10288,1.0,to
431,Q_line36_to,q,line,35,-2.68549,1.0,to
432,P_line37_to,p,line,36,1.82007,1.0,to
433,Q_line37_to,q,line,36,0.03162,1.0,to
434,P_line38_to,p,line,37,-3.70717,1.0,to
435,Q_line38_to,q,line,37,-1.9605,1.0,to
436,P_line39_to,p,line,38,7.24831,1.0,to
437,Q_line39_to,q,line,38,3.72349,1.0,to
438,P_line40_to,p,line,39,13.38445,1.0,to
439,Q_line40_to,q,line,39,6.95331,1.0,to
440,P_line41_to,p,line,40,15.6,1.0,to
441,Q_line41_to,q,line,40,5.41428,1.0,to
442,P_line42_to,p,line,41,18.74458,1.0,to
443,Q_line42_to,q,line,41,6.82721,1.0,to
444,P_line43_to,p,line,42,-2.76088,1.0,to
445,Q_line43_to,q,line,42,-1.03835,1.0,to
446,P_line44_to,p,line,43,-1.94253,1.0,to
447,Q_line44_to,q,line,43,1.64807,1.0,to
448,P_line45_to,p,line,44,10.04441,1.0,to
449,Q_line45_to,q,line,44,3.86135,1.0,to
450,P_line46_to,p,line,45,-9.54827,1.0,to
451,Q_line46_to,q,line,45,-6.77807,1.0,to
452,P_line47_to,p,line,46,13.22817,1.0,to
453,Q_line47_to,q,line,46,9.32713,1.0,to
454,P_line48_to,p,line,47,28.53186,1.0,to
455,Q_line48_to,q,line,47,15.29801,1.0,to
456,P_line49_to,p,line,48,-39.57085,1.0,to
457,Q_line49_to,q,line,48,-9.61166,1.0,to
458,P_line50_to,p,line,49,-9.91913,1.0,to
459,Q_line50_to,q,line,49,2.10366,1.0,to
460,P_line51_to,p,line,50,0.99706,1.0,to
461,Q_line51_to,q,line,50,2.44718,1.0,to
462,P_line52_to,p,line,51,-7.34764,1.0,to
463,Q_line52_to,q,line,51,0.30892,1.0,to
464,P_line53_to,p,line,52,14.29913,1.0,to
465,Q_line53_to,q,line,52,11.92203,1.0,to
466,P_line54_to,p,line,53,-19.48775,1.0,to
467,Q_line54_to,q,line,53,-6.33977,1.0,to
468,P_line55_to,p,line,54,-14.22544,1.0,to
469,Q_line55_to,q,line,54,-4.14252,1.0,to
470,P_line56_to,p,line,55,5.78132,1.0,to
471,Q_line56_to,q,line,55,1.2252,1.0,to
472,P_line57_to,p,line,56,10.04703,1.0,to
473,Q_line57_to,q,line,56,2.9838,1.0,to
474,P_line58_to,p,line,57,42.19243,1.0,to
475,Q_line58_to,q,line,57,19.92442,1.0,to
476,P_line59_to,p,line,58,7.79538,1.0,to
477,Q_line59_to,q,line,58,3.39891,1.0,to
478,P_line60_to,p,line,59,2.43579,1.0,to
479,Q_line60_to,q,line,59,2.67271,1.0,to
480,P_line61_to,p,line,60,4.04389,1.0,to
481,Q_line61_to,q,line,60,1.48942,1.0,to
482,P_line62_to,p,line,61,3.70185,1.0,to
483,Q_line62_to,q,line,61,2.11456,1.0,to
484,P_line63_to,p,line,62,10.90301,1.0,to
485,Q_line63_to,q,line,62,0.74193,1.0,to
486,P_trafo1_hv,p,trafo,0,-14.37125,1.0,hv
487,Q_trafo1_hv,q,trafo,0,-0.67692,1.0,hv
488,P_trafo2_hv,p,trafo,1,-18.38258,1.0,hv
489,Q_trafo2_hv,q,trafo,1,-2.6396,1.0,hv
490,P_trafo3_hv,p,trafo,2,-0.30662,1.0,hv
491,Q_trafo3_hv,q,trafo,2,0.65499,1.0,hv
492,P_trafo4_hv,p,trafo,3,-7.29086,1.0,hv
493,Q_trafo4_hv,q,trafo,3,-2.31364,1.0,hv
494,P_trafo5_hv,p,trafo,4,-7.0097,1.0,hv
495,Q_trafo5_hv,q,trafo,4,-2.17342,1.0,hv
496,P_trafo6_hv,p,trafo,5,10.92535,1.0,hv
497,Q_trafo6_hv,q,trafo,5,4.10203,1.0,hv
498,P_trafo7_hv,p,trafo,6,-63.45166,1.0,hv
499,Q_trafo7_hv,q,trafo,6,-18.73412,1.0,hv
500,P_trafo8_hv,p,trafo,7,-7.11001,1.0,hv
501,Q_trafo8_hv,q,trafo,7,-2.83733,1.0,hv
502,P_trafo9_hv,p,trafo,8,-10.98317,1.0,hv
503,Q_trafo9_hv,q,trafo,8,-6.31606,1.0,hv
504,P_trafo10_hv,p,trafo,9,-42.42697,1.0,hv
505,Q_trafo10_hv,q,trafo,9,-20.0127,1.0,hv
506,P_trafo11_hv,p,trafo,10,-39.9633,1.0,hv
507,Q_trafo11_hv,q,trafo,10,-10.80383,1.0,hv
508,P_trafo12_hv,p,trafo,11,-32.46683,1.0,hv
509,Q_trafo12_hv,q,trafo,11,-17.22138,1.0,hv
510,P_trafo13_hv,p,trafo,12,-30.06081,1.0,hv
511,Q_trafo13_hv,q,trafo,12,-12.69267,1.0,hv
512,P_trafo14_hv,p,trafo,13,-15.02313,1.0,hv
513,Q_trafo14_hv,q,trafo,13,-10.12804,1.0,hv
514,P_trafo15_hv,p,trafo,14,-1.97017,1.0,hv
515,Q_trafo15_hv,q,trafo,14,1.84174,1.0,hv
516,P_trafo16_hv,p,trafo,15,-2.65977,1.0,hv
517,Q_trafo16_hv,q,trafo,15,-0.79473,1.0,hv
518,P_trafo17_hv,p,trafo,16,-16.78568,1.0,hv
519,Q_trafo17_hv,q,trafo,16,-6.20237,1.0,hv
